QId,RespondUserId,PostUserId,Time,days
430,2.0,88.0,2013-12-13 13:20:08.623,79
439,,86.0,2013-10-01 12:17:38.470,6
442,160.0,43.0,2013-10-01 14:17:11.540,6
451,160.0,13.0,2013-10-01 22:05:28.333,7
459,,28.0,2013-10-27 08:47:16.893,32
461,13.0,88.0,2013-10-02 14:49:39.210,7
475,6.0,86.0,2013-10-19 17:13:05.177,24
483,,13.0,2013-10-10 22:55:24.073,16
484,62.0,,2013-10-03 11:15:11.230,8
486,62.0,50.0,2013-10-04 09:13:04.040,9
488,150.0,28.0,2013-10-04 12:49:48.117,9
496,,45.0,2013-10-06 15:12:12.570,11
498,83.0,50.0,2014-03-19 13:49:33.177,175
500,62.0,173.0,2013-10-07 10:02:03.730,12
501,160.0,43.0,2013-10-07 15:29:42.863,12
506,62.0,38.0,2013-10-07 19:53:29.573,13
507,160.0,53.0,2013-10-07 20:53:03.157,13
508,160.0,38.0,2013-10-07 19:58:51.387,13
520,160.0,53.0,2013-10-07 21:02:53.990,13
524,117.0,88.0,2013-12-11 16:55:02.503,77
525,160.0,,2013-11-09 10:20:24.917,45
526,117.0,6.0,2013-10-08 13:58:50.323,13
528,117.0,88.0,2013-10-09 15:18:13.703,14
529,42.0,6.0,2013-10-08 20:22:36.780,14
534,210.0,50.0,2013-10-09 09:21:23.340,14
537,180.0,181.0,2013-10-09 00:25:49.420,14
539,181.0,19.0,2013-10-09 00:34:45.137,14
545,181.0,,2013-10-09 07:42:03.400,14
546,181.0,45.0,2013-10-09 01:31:30.640,14
564,188.0,88.0,2013-10-14 10:17:06.863,19
576,160.0,63.0,2013-10-09 13:29:41.950,14
579,181.0,50.0,2013-10-09 11:20:16.903,14
601,219.0,88.0,2013-10-11 08:36:17.243,16
602,181.0,13.0,2013-10-10 19:15:46.170,16
604,79.0,28.0,2013-10-10 21:31:13.493,16
607,180.0,28.0,2013-10-11 05:27:41.707,16
623,117.0,276.0,2013-10-19 01:30:36.780,24
624,117.0,,2013-10-11 18:52:20.830,17
625,6.0,88.0,2013-10-14 09:43:40.637,19
630,232.0,13.0,2013-10-13 15:40:46.773,18
639,6.0,88.0,2013-10-14 14:56:26.140,19
641,239.0,45.0,2013-10-14 21:30:39.797,20
646,239.0,13.0,2013-10-15 05:49:38.000,20
648,92.0,467.0,2013-11-21 06:59:41.517,57
656,257.0,158.0,2013-10-15 23:28:45.617,21
660,83.0,88.0,2013-10-16 08:42:58.783,21
664,258.0,43.0,2013-10-16 15:53:50.237,21
666,259.0,13.0,2013-10-16 15:16:45.020,21
675,258.0,176.0,2013-10-17 17:03:19.130,22
676,258.0,86.0,2013-10-17 12:41:07.743,22
677,160.0,50.0,2013-10-17 08:23:02.500,22
678,160.0,50.0,2013-10-17 17:10:28.283,22
679,83.0,88.0,2013-10-17 09:04:09.573,22
686,273.0,,2013-10-17 20:22:33.927,23
687,160.0,6.0,2013-10-17 17:18:32.340,22
694,160.0,13.0,2013-10-17 23:46:11.177,23
697,,281.0,2013-10-31 13:41:10.493,36
699,277.0,50.0,2013-10-18 11:40:39.473,23
700,83.0,286.0,2013-10-20 11:19:47.007,25
702,6.0,86.0,2013-10-25 20:53:00.023,31
706,282.0,38.0,2013-10-19 04:05:27.320,24
712,284.0,45.0,2013-10-20 01:35:32.220,25
717,104.0,450.0,2013-11-19 09:15:50.720,55
718,258.0,45.0,2013-10-21 14:43:03.737,26
720,6.0,286.0,2013-10-27 19:26:42.353,33
721,45.0,88.0,2013-10-21 16:40:14.650,26
722,289.0,88.0,2013-10-22 16:54:11.917,27
747,,88.0,2013-10-23 14:35:29.357,28
748,83.0,302.0,2013-10-24 09:22:33.430,29
753,257.0,276.0,2013-10-27 02:33:17.130,32
758,257.0,276.0,2013-10-24 02:18:25.083,29
762,301.0,43.0,2013-10-24 13:28:06.123,29
764,83.0,276.0,2013-10-27 12:45:59.967,32
772,306.0,281.0,2013-10-25 17:50:14.507,30
782,115.0,316.0,2013-10-27 03:50:43.473,32
801,257.0,276.0,2013-10-28 02:00:55.307,33
806,209.0,340.0,2013-10-30 13:53:11.100,35
809,328.0,28.0,2013-10-29 08:23:29.660,34
815,331.0,45.0,2013-10-29 12:12:07.113,34
820,302.0,276.0,2013-10-31 03:41:00.173,36
822,302.0,281.0,2013-10-30 20:21:11.410,36
838,349.0,13.0,2013-11-01 17:24:48.237,37
841,359.0,83.0,2013-11-04 13:22:53.797,40
842,360.0,45.0,2013-11-02 17:09:15.017,38
847,343.0,494.0,2013-12-22 14:43:04.537,88
848,43.0,25.0,2013-11-03 01:55:01.937,39
850,150.0,276.0,2013-11-03 03:47:59.643,39
853,367.0,,2013-11-04 08:54:07.070,40
856,83.0,361.0,2013-11-04 18:52:38.130,41
858,83.0,176.0,2013-11-10 05:07:14.433,46
868,36.0,276.0,2013-11-08 09:57:09.180,44
869,36.0,12.0,2013-11-05 17:30:20.730,41
871,36.0,13.0,2013-11-05 18:33:17.067,41
872,36.0,115.0,2013-11-07 18:16:26.573,43
874,36.0,58.0,2013-11-06 18:01:41.017,42
878,383.0,45.0,2013-11-06 00:57:11.113,42
884,36.0,114.0,2013-11-07 02:41:24.563,43
888,50.0,141.0,2013-11-15 18:34:47.577,51
891,36.0,28.0,2013-11-07 23:04:54.860,44
902,304.0,13.0,2013-11-10 15:50:57.650,46
906,407.0,38.0,2013-11-12 15:36:17.797,48
908,304.0,412.0,2013-11-12 05:40:12.447,48
912,115.0,115.0,2013-11-13 12:35:50.873,49
916,416.0,448.0,2013-11-19 08:30:41.570,55
922,209.0,43.0,2013-11-13 22:12:09.467,50
925,36.0,6.0,2013-11-14 21:15:32.230,51
931,83.0,457.0,2013-11-20 14:43:54.123,56
932,43.0,276.0,2013-11-17 08:49:10.667,53
937,21.0,21.0,2013-11-20 04:30:55.917,56
942,379.0,448.0,2013-11-19 08:20:21.607,55
945,431.0,13.0,2013-11-18 12:24:14.443,54
947,92.0,467.0,2013-11-21 05:35:16.923,57
948,50.0,281.0,2013-11-18 15:48:33.880,54
964,458.0,13.0,2013-11-20 06:31:02.240,56
