,t1,t2,J
290,1.0,140.0,0.0
291,1.0,141.0,0.045454545454545456
292,1.0,142.0,0.045454545454545456
293,1.0,143.0,0.047619047619047616
294,1.0,144.0,0.047619047619047616
295,1.0,145.0,0.05
296,1.0,146.0,0.047619047619047616
297,1.0,147.0,0.05
298,1.0,148.0,0.0
299,1.0,149.0,0.0
300,2.0,0.0,0.6190476190476191
301,2.0,1.0,0.875
302,2.0,2.0,1.0
303,2.0,3.0,0.8571428571428571
304,2.0,4.0,0.7647058823529411
305,2.0,5.0,0.7222222222222222
306,2.0,6.0,0.7222222222222222
307,2.0,7.0,0.6666666666666666
308,2.0,8.0,0.6470588235294118
309,2.0,9.0,0.6470588235294118
310,2.0,10.0,0.6666666666666666
311,2.0,11.0,0.6666666666666666
312,2.0,12.0,0.6666666666666666
313,2.0,13.0,0.6666666666666666
314,2.0,14.0,0.5625
315,2.0,15.0,0.5
316,2.0,16.0,0.5
317,2.0,17.0,0.5
318,2.0,18.0,0.5
319,2.0,19.0,0.5
320,2.0,20.0,0.5
321,2.0,21.0,0.42857142857142855
322,2.0,22.0,0.3684210526315789
323,2.0,23.0,0.3888888888888889
324,2.0,24.0,0.29411764705882354
325,2.0,25.0,0.35294117647058826
326,2.0,26.0,0.35294117647058826
327,2.0,27.0,0.35294117647058826
328,2.0,28.0,0.3157894736842105
329,2.0,29.0,0.3
330,2.0,30.0,0.3
331,2.0,31.0,0.3
332,2.0,32.0,0.2857142857142857
333,2.0,33.0,0.23809523809523808
334,2.0,34.0,0.3333333333333333
335,2.0,35.0,0.3
336,2.0,36.0,0.3
337,2.0,37.0,0.3157894736842105
338,2.0,38.0,0.3157894736842105
339,2.0,39.0,0.3157894736842105
340,2.0,40.0,0.3333333333333333
341,2.0,41.0,0.3333333333333333
342,2.0,42.0,0.2777777777777778
343,2.0,43.0,0.2777777777777778
344,2.0,44.0,0.29411764705882354
345,2.0,45.0,0.29411764705882354
346,2.0,46.0,0.29411764705882354
347,2.0,47.0,0.29411764705882354
348,2.0,48.0,0.2777777777777778
349,2.0,49.0,0.2777777777777778
350,2.0,50.0,0.25
351,2.0,51.0,0.22727272727272727
352,2.0,52.0,0.2727272727272727
353,2.0,53.0,0.2857142857142857
354,2.0,54.0,0.21052631578947367
355,2.0,55.0,0.15789473684210525
356,2.0,56.0,0.15789473684210525
357,2.0,57.0,0.15789473684210525
358,2.0,58.0,0.2631578947368421
359,2.0,59.0,0.23809523809523808
360,2.0,60.0,0.23809523809523808
361,2.0,61.0,0.23809523809523808
362,2.0,62.0,0.25
