QId,PostUserId,RespondUserId,Time,days
262,31.0,17.0,2014-11-23 21:12:06.613,5
262,31.0,,2014-11-23 21:51:53.203,5
262,31.0,14.0,2014-11-23 22:08:17.477,5
262,31.0,385.0,2015-04-26 10:03:22.247,158
266,43.0,47.0,2014-11-23 22:46:28.373,5
266,43.0,132.0,2014-11-24 01:30:02.307,5
267,43.0,150.0,2014-11-23 22:35:07.463,5
268,31.0,31.0,2014-11-23 23:02:24.837,5
268,31.0,211.0,2014-11-23 23:05:12.383,5
276,40.0,43.0,2014-11-24 00:34:59.640,5
276,40.0,14.0,2014-11-24 01:03:12.017,5
276,40.0,108.0,2014-11-24 07:20:50.847,5
280,211.0,31.0,2014-11-24 03:22:07.100,5
281,86.0,14.0,2014-11-24 03:35:28.270,5
281,86.0,2701.0,2015-01-14 19:36:31.753,56
283,31.0,31.0,2014-11-24 04:23:12.763,5
283,31.0,40.0,2014-11-25 22:49:23.267,7
290,127.0,54.0,2014-12-06 08:01:37.170,17
292,107.0,25.0,2014-11-24 20:05:31.477,5
292,107.0,119.0,2014-11-24 23:08:28.563,6
294,14.0,17.0,2014-11-24 15:14:57.920,5
294,14.0,54.0,2014-12-09 22:14:55.620,21
294,14.0,1441.0,2014-12-15 00:50:22.413,26
299,59.0,14.0,2014-11-24 17:35:55.587,5
299,59.0,108.0,2014-11-24 19:55:21.550,5
299,59.0,17.0,2014-11-25 02:18:49.087,6
299,59.0,127.0,2014-11-25 13:40:08.687,6
301,43.0,61.0,2014-11-24 19:36:36.107,5
305,109.0,61.0,2014-11-25 09:55:57.307,6
307,84.0,69.0,2014-12-17 14:00:25.657,28
308,59.0,17.0,2014-11-25 03:22:45.607,6
308,59.0,47.0,2014-11-25 05:06:59.927,6
313,182.0,20.0,2014-11-25 14:06:15.717,6
315,18.0,38.0,2014-11-25 23:40:46.807,7
318,27.0,68.0,2014-11-25 23:35:49.943,7
321,43.0,109.0,2014-11-26 16:42:09.350,7
325,59.0,68.0,2014-11-26 04:08:52.023,7
