PostId,Vote,VTime
131,2,2017-05-14
141,2,2017-05-14
1414,2,2017-05-14
1422,2,2017-05-14
1666,2,2017-05-14
2531,3,2017-05-14
2530,2,2017-05-14
2529,2,2017-05-14
333,2,2017-05-14
2528,2,2017-05-14
1170,2,2017-05-14
2532,3,2017-05-14
2532,3,2017-05-14
2532,3,2017-05-14
2532,3,2017-05-14
2531,3,2017-05-14
2533,2,2017-05-14
2534,15,2017-05-14
2534,3,2017-05-14
2533,2,2017-05-14
2535,2,2017-05-14
1728,2,2017-05-14
1724,2,2017-05-14
426,2,2017-05-14
427,2,2017-05-14
2515,2,2017-05-14
2532,3,2017-05-14
185,2,2017-05-14
421,2,2017-05-14
424,2,2017-05-14
417,2,2017-05-14
2532,3,2017-05-14
2534,3,2017-05-14
2530,1,2017-05-14
174,2,2017-05-14
829,2,2017-05-14
2530,2,2017-05-14
424,2,2017-05-14
2448,2,2017-05-14
608,2,2017-05-14
1880,2,2017-05-14
801,2,2017-05-14
63,2,2017-05-14
737,2,2017-05-14
741,2,2017-05-14
749,2,2017-05-14
326,2,2017-05-14
341,2,2017-05-14
2533,2,2017-05-14
2533,2,2017-05-14
2533,2,2017-05-14
2536,2,2017-05-14
2529,2,2017-05-14
2536,3,2017-05-14
2536,2,2017-05-14
2536,2,2017-05-14
2536,2,2017-05-14
2534,3,2017-05-14
2537,2,2017-05-15
2531,3,2017-05-15
330,2,2017-05-15
2536,2,2017-05-15
2536,2,2017-05-15
330,2,2017-05-15
416,2,2017-05-15
424,2,2017-05-15
2535,2,2017-05-15
2536,2,2017-05-15
794,2,2017-05-15
1121,2,2017-05-15
2525,2,2017-05-15
1685,9,2017-05-15
1728,2,2017-05-15
1724,2,2017-05-15
2531,3,2017-05-15
2534,3,2017-05-15
2529,2,2017-05-15
255,2,2017-05-15
2525,2,2017-05-15
2529,2,2017-05-15
2532,3,2017-05-15
2536,2,2017-05-15
2536,5,2017-05-15
2538,2,2017-05-15
2250,2,2017-05-15
257,2,2017-05-15
2538,2,2017-05-15
2535,2,2017-05-15
20,2,2017-05-15
2538,2,2017-05-15
