AId,AUserId,QId,ATime,AScore,ACommentCount
1063,17,1062,2017-01-27 02:25:16.143,3,3
1064,186,871,2017-01-27 05:40:52.647,4,3
1066,289,103,2017-01-27 08:52:12.063,5,0
1067,225,1062,2017-01-27 09:25:05.900,8,0
1073,,948,2017-01-27 14:46:11.433,4,0
1074,37,1071,2017-01-27 14:49:25.470,11,2
1075,96,1069,2017-01-27 14:59:22.213,16,0
1077,71,1076,2017-01-27 15:01:21.953,13,4
1090,72,1072,2017-01-27 15:41:56.163,2,0
1092,11,1091,2017-01-27 20:11:19.457,11,1
1094,132,1070,2017-01-28 06:56:47.603,9,0
1099,,872,2017-01-28 09:01:43.497,6,0
1101,120,482,2017-01-28 11:53:45.920,9,0
1121,201,794,2017-01-28 19:33:48.200,4,0
1123,201,404,2017-01-28 19:56:51.107,4,0
1128,20,1126,2017-01-29 00:23:09.413,15,6
1131,71,1129,2017-01-29 01:27:22.413,7,2
1133,244,1132,2017-01-29 02:38:10.910,15,3
1136,115,1135,2017-01-29 06:49:58.230,9,0
1137,289,1134,2017-01-29 07:53:19.160,14,5
1138,18,1104,2017-01-29 08:57:32.973,18,0
1139,289,995,2017-01-29 12:22:11.800,11,2
1140,120,938,2017-01-29 14:42:10.923,11,0
1142,58,1141,2017-01-29 15:31:54.190,12,0
1143,241,728,2017-01-29 16:20:36.127,8,3
1148,92,1144,2017-01-29 19:49:19.027,9,1
1149,72,1144,2017-01-29 19:50:26.463,12,3
1157,17,1154,2017-01-30 02:26:13.953,7,0
1162,37,1161,2017-01-30 14:28:13.743,-1,1
1163,85,1161,2017-01-30 14:28:54.287,-1,1
1166,347,1051,2017-01-30 16:06:36.470,7,0
1167,139,1158,2017-01-30 18:56:30.597,7,0
1178,353,1176,2017-01-30 23:37:10.437,8,4
1183,289,333,2017-01-31 11:01:25.873,4,0
1228,,1182,2017-01-31 15:51:54.347,13,0
1231,129,1230,2017-01-31 17:05:04.543,12,0
1237,71,1120,2017-01-31 17:48:04.677,8,3
1238,20,1177,2017-01-31 18:12:22.300,2,5
1248,99,1182,2017-01-31 19:13:14.307,8,0
1249,225,1052,2017-01-31 19:23:06.747,6,0
1250,85,1239,2017-01-31 20:07:19.160,4,0
1251,9,1181,2017-01-31 20:44:34.503,8,3
1268,256,960,2017-01-31 22:17:42.667,6,0
1279,17,1278,2017-02-01 01:30:20.073,5,0
1280,88,930,2017-02-01 02:18:36.573,4,0
1281,168,1273,2017-02-01 02:21:04.940,6,3
1282,372,872,2017-02-01 06:25:25.880,3,1
1283,68,626,2017-02-01 06:53:05.023,3,0
1284,372,775,2017-02-01 07:21:14.880,2,2
1290,374,121,2017-02-01 12:46:29.473,2,1
1291,37,1289,2017-02-01 12:55:52.737,14,0
1297,17,1292,2017-02-01 14:49:17.053,12,2
1300,85,1150,2017-02-01 15:26:41.033,3,0
1301,20,1150,2017-02-01 16:41:26.427,3,0
1312,29,1311,2017-02-01 19:07:33.283,6,0
1313,225,294,2017-02-01 19:18:21.363,2,0
1316,58,1315,2017-02-01 21:20:11.673,-1,0
1323,99,1322,2017-02-02 14:07:58.110,6,0
1328,30,1327,2017-02-02 16:09:54.260,4,0
1329,85,1324,2017-02-02 16:13:58.740,13,2
1330,,1327,2017-02-02 16:16:53.750,7,0
1338,99,870,2017-02-03 08:17:18.973,2,4
1340,20,1337,2017-02-03 16:28:39.650,5,3
1342,20,1341,2017-02-03 19:19:17.857,13,5
1343,123,1332,2017-02-03 23:03:14.577,6,0
1345,17,1344,2017-02-04 01:51:30.453,8,3
1346,123,1310,2017-02-04 02:28:46.430,7,0
1347,168,1344,2017-02-04 05:02:50.057,3,1
1351,17,1161,2017-02-04 16:09:10.570,6,0
1352,390,340,2017-02-04 19:08:56.027,0,2
1355,17,1353,2017-02-05 00:09:54.853,8,2
1358,17,1356,2017-02-05 01:52:23.060,23,2
1363,58,1068,2017-02-05 11:51:19.483,5,0
1368,17,1364,2017-02-05 14:13:53.420,16,4
1371,137,1348,2017-02-05 17:47:41.853,10,1
1375,80,1370,2017-02-05 21:35:22.113,10,0
1376,85,1372,2017-02-05 21:41:40.087,15,2
1381,31,1,2017-02-06 02:34:51.677,14,0
1382,289,1341,2017-02-06 04:17:28.010,7,1
1383,289,1344,2017-02-06 04:47:09.100,4,0
1387,58,1386,2017-02-06 16:59:41.627,9,0
1391,85,1390,2017-02-06 19:34:47.917,-2,0
1393,20,1390,2017-02-06 20:11:48.537,9,2
1394,9,1392,2017-02-06 20:19:31.297,1,4
1395,255,1362,2017-02-06 21:39:42.347,5,1
1399,15,1051,2017-02-06 22:59:04.953,1,4
1401,142,1022,2017-02-06 23:25:27.653,10,2
1408,123,1406,2017-02-07 02:30:32.490,4,0
1409,406,1406,2017-02-07 05:18:32.283,8,0
1410,406,623,2017-02-07 05:38:28.963,-1,2
1412,9,1398,2017-02-07 08:07:26.370,6,2
1413,289,1369,2017-02-07 09:02:58.673,5,0
