First_day,N_nodes,L/N,clustering,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
40,37,1.3243243243243243,0.1355105105105105,0.6666666666666666,3,0.8108108108108109,57.61593559701214,5.246377846741202
41,39,1.3333333333333333,0.20570818070818064,1.0,4,0.7692307692307693,52.75516992103486,5.323467727511355
42,40,1.275,0.1943154761904762,0.0,1,0.4,34.41316076287048,2.3684681320366368
43,37,1.162162162162162,0.18418158418158417,1.5,4,0.43243243243243246,44.62351850367583,4.027574907979927
44,37,1.162162162162162,0.13153153153153155,1.5,4,0.35135135135135137,42.8385777635288,3.6059118966443213
45,37,1.1081081081081081,0.12162162162162163,1.25,4,0.35135135135135137,46.77241794864411,4.137705356756587
46,39,1.1025641025641026,0.11196581196581198,0.0,0,0.0,,
47,43,1.186046511627907,0.07369878183831673,0.5,2,0.3023255813953488,44.17781311178218,3.7620087542628053
48,48,1.2916666666666667,0.14811507936507937,0.6666666666666666,6,0.6875,48.965334966057355,5.9499090500782374
49,49,1.4285714285714286,0.18469387755102043,1.0,6,0.6938775510204082,49.477397105621655,5.594907158120177
50,47,1.4680851063829787,0.19255319148936173,0.5,4,0.6382978723404256,57.538649541958186,5.868720749222911
51,50,1.38,0.15431746031746033,0.6,5,0.68,50.43127134684915,5.518743442971949
52,49,1.3673469387755102,0.13790087463556852,1.5,6,0.5102040816326531,45.11909281473536,5.573449449333999
53,53,1.3396226415094339,0.12443437066078578,1.5,6,0.5283018867924528,44.17525330496832,5.227938002475182
54,55,1.309090909090909,0.12859504132231403,0.6666666666666666,3,0.45454545454545453,67.74769289791168,7.339504827906212
55,54,1.2777777777777777,0.10813692480359144,0.6666666666666666,3,0.46296296296296297,66.78651162493595,7.365254138803179
56,52,1.2692307692307692,0.11528749028749027,0.6666666666666666,3,0.5,63.77769159805741,6.967202207002742
57,49,1.2653061224489797,0.10952380952380951,0.6666666666666666,3,0.5918367346938775,64.89529938718793,6.757603788394508
