First_day,N_nodes,L/N,clustering,clustering_ER,clustering_BA,clustering/clustering_ER,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
47,146,2.4794520547945207,0.20699123276491532,0.03419933868682097,0.0530866394396347,6.052492261924389,4.44,25,1.4589041095890412,16.810639268052412,8.750943951883764
48,146,2.404109589041096,0.21158919952126834,0.033160132262635804,0.05147350951191099,6.380830988412038,4.458333333333333,24,1.4246575342465753,17.658661331007355,9.24084450374809
49,145,2.372413793103448,0.19287039735272343,0.03295019157088123,0.051006646836529806,5.853392291751257,4.454545454545454,22,1.393103448275862,18.805565075647923,9.495672986398382
50,145,2.3241379310344827,0.1929138061430646,0.03227969348659004,0.04996872088346088,5.976320878734702,4.380952380952381,21,1.3448275862068966,19.309721134127898,8.946869748173501
51,146,2.315068493150685,0.1792161033960683,0.031931979215871514,0.04956708323369207,5.612433297181607,4.333333333333333,21,1.3287671232876712,18.99267218468838,8.484609682840563
52,145,2.317241379310345,0.1951937621372807,0.03218390804597701,0.04982044574730818,6.064949037836937,4.473684210526316,19,1.282758620689655,21.035281644988153,8.487868091591091
53,144,2.2847222222222223,0.181050222524017,0.03195415695415695,0.049327321001720215,5.665936447134587,4.368421052631579,19,1.2569444444444444,20.076814724059542,8.171997253874771
54,148,2.222972972972973,0.16861120252904138,0.030244530244530245,0.04720439727822392,5.57493210064107,4.0476190476190474,21,1.2905405405405406,18.84901235018866,8.225377238426011
55,147,2.2108843537414966,0.17301818505791397,0.030286087037554747,0.047141084568274795,5.712794288789153,4.0,21,1.2857142857142858,18.375789280312123,8.234661616132954
56,144,2.2152777777777777,0.17399538043190665,0.030982905982905984,0.04782801033297492,5.615850899457401,3.9,20,1.3055555555555556,18.564753887403917,8.481274368018319
57,143,2.195804195804196,0.1642408136863733,0.030926819659214025,0.04760763827666251,5.310627329164803,3.736842105263158,19,1.3076923076923077,18.562123426364266,8.528937725535746
58,144,2.1458333333333335,0.1618533642442491,0.030011655011655012,0.046328699664229624,5.393016952293815,3.6666666666666665,18,1.2638888888888888,18.85689573232712,8.75519184487765
59,144,2.125,0.1470089811288214,0.02972027972027972,0.04587890646360603,4.946419835628579,3.7222222222222223,18,1.25,18.666546004909897,8.96804833382968
60,143,2.1188811188811187,0.15983793844749308,0.02984339604057914,0.045939854770155227,5.355889732862697,3.8666666666666667,15,1.1818181818181819,20.09874507503128,9.1512407095667
61,146,2.0821917808219177,0.15808260750960898,0.028719886632026452,0.044581045275273345,5.504290791082931,3.8,15,1.1575342465753424,19.61621153294518,9.030854303066096
