First_day,N_nodes,L/N,clustering,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
63,42,1.1666666666666667,0.1341022733879877,1.0,5,0.7857142857142857,63.70636551909472,7.358298223468294
64,36,1.1388888888888888,0.07870370370370369,1.0,5,0.7222222222222222,61.03244797235258,6.754405451271259
65,36,1.2222222222222223,0.13408289241622573,1.0,5,0.8055555555555556,59.521331322638844,6.745958492962726
66,34,1.2647058823529411,0.13489729225023342,1.0,5,0.8235294117647058,57.61668222691425,6.753937049704477
67,36,1.1944444444444444,0.13018077601410932,0.6666666666666666,3,0.5833333333333334,78.40226478228563,9.499640276085648
68,36,1.3055555555555556,0.16894741061407728,0.6666666666666666,3,0.6944444444444444,86.87066046250482,10.072932227948064
69,31,1.2580645161290323,0.10434296885909788,0.5,2,0.5161290322580645,101.88840612850785,9.152763689255758
70,27,1.1111111111111112,0.07695473251028807,0.0,1,0.37037037037037035,96.27023227543148,6.417695100598972
71,24,1.0833333333333333,0.03726851851851851,0.0,1,0.375,98.57541593700644,6.26019616545317
72,22,1.0909090909090908,0.0303030303030303,0.0,1,0.3181818181818182,97.65426233602864,5.953753775165576
73,27,1.2222222222222223,0.0308641975308642,0.0,1,0.2962962962962963,90.07165315850236,5.87707501679371
74,33,1.2424242424242424,0.03621933621933623,1.0,4,0.5757575757575758,51.62424951386015,5.025613332317162
75,34,1.3235294117647058,0.027540106951871656,0.0,2,0.5588235294117647,56.069739565116734,4.334929145943163
76,33,1.3333333333333333,0.029384756657483926,0.0,2,0.5757575757575758,53.70257158974417,4.0060618428820485
77,32,1.34375,0.0303030303030303,0.0,2,0.59375,51.554468726154404,3.8197757427036754
78,33,1.2424242424242424,0.03468013468013468,0.0,1,0.30303030303030304,21.719663274588207,1.4658942146594345
79,34,1.2352941176470589,0.03366013071895425,0.0,1,0.29411764705882354,20.85087674360468,1.4629991868983625
80,37,1.3783783783783783,0.09224679224679225,0.5,2,0.5135135135135135,26.33716301900853,1.9931235120187776
81,38,1.5526315789473684,0.10112781954887218,0.5,2,0.5263157894736842,29.233708362954772,2.2775813705929213
82,42,1.5,0.12412389198103484,1.0,4,0.8333333333333334,25.36479090044595,2.136870543193484
83,47,1.425531914893617,0.10150287065180683,1.0,5,0.851063829787234,37.12956940768729,3.929187199931342
84,43,1.5116279069767442,0.1333887043189369,1.0,5,0.813953488372093,35.36918768776052,3.595371852941284
85,42,1.3571428571428572,0.10952380952380955,0.0,1,0.35714285714285715,32.40422667118731,2.651383279146357
86,40,1.45,0.14885154061624653,0.0,1,0.425,35.69673515204672,3.0105033322931876
87,42,1.4047619047619047,0.13949579831932774,0.0,1,0.40476190476190477,33.93959411170582,2.9941651910701728
88,47,1.4042553191489362,0.13215328684665356,0.0,1,0.3829787234042553,32.582010347237585,3.1490914565156958
89,47,1.425531914893617,0.14924545406068365,0.0,1,0.40425531914893614,34.26001700614943,3.428697505321613
90,44,1.3409090909090908,0.15174204450520243,0.0,1,0.4318181818181818,31.889178064390656,3.153020814207894
91,49,1.3061224489795917,0.07248137350178166,0.6666666666666666,3,0.5714285714285714,25.092356064129252,2.9038941672487146
92,51,1.2549019607843137,0.06116062586650823,0.5,2,0.39215686274509803,30.252933129896274,3.642668000241309
93,45,1.3111111111111111,0.1294051627384961,0.75,4,0.6666666666666666,35.36127436807435,5.282106016583156
94,43,1.3255813953488371,0.12290513104466592,2.0,9,0.4186046511627907,22.297406996639705,3.452637385471353
95,44,1.3636363636363635,0.11098484848484848,1.7142857142857142,7,0.5681818181818182,25.048945170816733,3.9476958699038978
96,47,1.4042553191489362,0.14216480918608576,1.7142857142857142,7,0.6170212765957447,25.897973212901952,3.9117500136148586
97,47,1.425531914893617,0.12755058180590095,1.2857142857142858,7,0.7872340425531915,25.87034379757755,4.013957814718839
98,44,1.4090909090909092,0.0835792994883904,0.0,2,0.5227272727272727,48.95583906336105,5.879740967004522
99,49,1.2653061224489797,0.05960479429867185,0.3333333333333333,3,0.5306122448979592,37.01441933032998,4.785305912422616
100,52,1.4230769230769231,0.06369186369186369,0.75,4,0.5769230769230769,33.612032155225634,4.561640401670885
101,50,1.36,0.06811111111111112,0.0,2,0.36,43.89500708228205,5.144542780665503
102,51,1.4313725490196079,0.12185233067586007,0.0,2,0.43137254901960786,49.00805302924639,5.416545725148627
103,48,1.3958333333333333,0.07024711399711399,0.0,1,0.25,38.4962041751281,3.7758859478060876
104,51,1.3333333333333333,0.06599870717517775,0.0,1,0.27450980392156865,41.37043899360987,4.538770566888943
105,48,1.3333333333333333,0.07197802197802199,0.0,1,0.2916666666666667,39.62844882838093,4.399906876599287
106,45,1.2666666666666666,0.07468013468013468,0.0,1,0.26666666666666666,38.043310875245695,4.0972425685464815
107,46,1.2173913043478262,0.07450592885375494,0.0,1,0.26666666666666666,36.52157844023586,3.9468792203827214
108,50,1.18,0.08854545454545455,0.0,1,0.24489795918367346,35.06071530262643,4.075702077425806
109,45,1.2222222222222223,0.09698005698005699,0.0,1,0.29545454545454547,33.65828669052137,3.690262409694286
110,40,1.125,0.06055555555555555,0.0,1,0.23076923076923078,32.31195522290051,3.338614991543489
111,42,1.0476190476190477,0.1044973544973545,0.0,1,0.21951219512195122,33.175356312051555,3.6634297779604457
112,41,0.8780487804878049,0.03902439024390244,0.0,0,0.0,,
113,42,0.8809523809523809,0.03571428571428571,0.0,0,0.0,,
114,38,0.8157894736842105,0.0456140350877193,0.0,0,0.0,,
115,39,0.9230769230769231,0.044444444444444446,0.0,0,0.0,,
116,40,0.95,0.043333333333333335,0.0,0,0.0,,
117,43,1.069767441860465,0.07984496124031007,0.0,0,0.0,,
118,42,1.3333333333333333,0.12777262420119562,0.5,2,0.42857142857142855,31.382349599124396,4.155152140329921
119,41,1.4878048780487805,0.1318115488847196,0.5,2,0.4878048780487805,35.341518887966146,4.43966987731598
120,41,1.4634146341463414,0.15891628696506746,2.2222222222222223,9,0.43902439024390244,17.927163892008622,2.739662584774706
121,43,1.372093023255814,0.10990714711644943,0.0,1,0.32558139534883723,22.10713392254405,2.6178636791328627
122,41,1.4146341463414633,0.08112212990261772,0.0,1,0.34146341463414637,21.22284856564229,2.4790188549947434
123,44,1.4318181818181819,0.0712507189779917,1.0,3,0.5909090909090909,30.586362980188042,4.412723295172488
124,47,1.3617021276595744,0.06173826173826173,1.0,3,0.5531914893617021,29.128858045333004,4.419461954735082
125,46,1.3043478260869565,0.06173621064925413,1.25,4,0.5652173913043478,22.236641349930753,3.3566939226938697
126,40,1.425,0.08599664224664225,1.25,4,0.65,21.347175695933522,2.9151145069962716
127,38,1.3157894736842106,0.049728487886382636,0.6666666666666666,3,0.5526315789473685,16.107868585722702,1.9979988255296472
128,35,1.3714285714285714,0.060086580086580084,0.0,1,0.3142857142857143,34.702388686031426,4.027762588790575
129,37,1.2162162162162162,0.05075075075075075,0.0,1,0.2702702702702703,33.277806345713614,4.022055176304875
130,41,1.146341463414634,0.06802168021680216,0.0,1,0.24390243902439024,31.946694091885067,3.955775775676799
131,38,1.131578947368421,0.09941520467836257,0.0,1,0.2631578947368421,30.66882632820966,3.699310836772869
132,36,1.0833333333333333,0.10987654320987655,0.0,1,0.25,29.442073275081277,3.5752189522828948
133,31,1.0,0.15806451612903227,1.6666666666666667,6,0.12903225806451613,14.699190624214962,1.9956505186950988
134,30,0.9666666666666667,0.1722222222222222,1.6666666666666667,6,0.1,14.490768192878567,1.9569572281080536
135,26,1.0,0.1987179487179487,1.6666666666666667,6,0.11538461538461539,14.336741218222842,1.746385650192795
136,26,1.0,0.1346153846153846,0.0,0,0.0,,
137,27,1.037037037037037,0.13703703703703704,0.0,0,0.0,,
138,27,0.8888888888888888,0.05555555555555555,0.0,0,0.0,,
139,21,0.9523809523809523,0.07142857142857142,0.0,0,0.0,,
140,20,0.9,0.0,0.0,0,0.0,,
141,20,0.9,0.0,0.0,0,0.0,,
142,22,0.9545454545454546,0.0,0.0,0,0.0,,
143,23,1.0,0.0,0.0,0,0.0,,
144,25,1.12,0.09828571428571427,0.5,2,0.44,27.537809889119252,3.6361984023964573
145,31,1.064516129032258,0.06810035842293907,0.0,1,0.2903225806451613,27.843027433958817,3.2934823605231576
146,30,1.0666666666666667,0.07037037037037037,0.0,1,0.3,25.949805312513224,3.1549876202450493
147,29,1.0344827586206897,0.07389162561576354,0.0,1,0.27586206896551724,24.911813100012694,3.0509641020712346
148,26,1.0,0.08241758241758242,1.0,3,0.46153846153846156,25.1173548892604,3.824154835744711
149,28,1.0714285714285714,0.0717687074829932,1.0,3,0.4642857142857143,24.112660693689985,3.8761619500965696
150,30,1.0333333333333334,0.0592063492063492,1.0,3,0.4,23.148154265942384,3.6646618631590635
151,36,1.0833333333333333,0.046097883597883596,0.5,2,0.3888888888888889,28.153219594730828,4.19035966716747
152,38,1.105263157894737,0.05048036758563074,0.5,2,0.42105263157894735,30.918769638523116,4.804215739237391
153,39,1.1282051282051282,0.09259259259259259,0.5,2,0.46153846153846156,36.68721096426828,5.777085975320087
154,40,1.15,0.06035353535353535,0.5,2,0.45,38.048875266753306,5.879326158772007
155,35,1.1142857142857143,0.0638961038961039,0.0,1,0.3142857142857143,45.279613600361785,6.231738342007765
156,35,1.1428571428571428,0.06372294372294372,0.0,1,0.34285714285714286,45.59498894841219,7.160055953975328
157,40,1.125,0.054047619047619046,0.0,1,0.375,55.05753575572182,9.032008157394477
158,42,1.1666666666666667,0.06103552532123961,0.5,2,0.5238095238095238,38.53706858002604,7.059114618910257
159,39,1.2307692307692308,0.07150370996524844,0.5,2,0.5641025641025641,38.22793501351478,6.926114544232303
160,41,1.2195121951219512,0.06546055570445815,0.6666666666666666,3,0.6585365853658537,29.681937892591275,5.819176601175935
161,37,1.135135135135135,0.07906867906867907,0.6666666666666666,3,0.6756756756756757,28.437236678395994,5.32098982467064
162,36,1.0833333333333333,0.08505291005291006,0.6666666666666666,3,0.6388888888888888,28.1332311799846,5.051776036170902
163,36,1.0277777777777777,0.0376984126984127,0.3333333333333333,3,0.5277777777777778,26.834393292614923,4.753915198886378
164,39,1.0256410256410255,0.07973137973137974,0.6,5,0.6153846153846154,25.642546331156108,5.223258103691762
165,43,1.0,0.07231450719822813,0.6,5,0.5813953488372093,24.721842629845238,4.964358231347256
166,40,1.125,0.11470238095238094,0.75,4,0.575,28.305716461067725,4.818520669933492
167,39,1.1282051282051282,0.1461945461945462,0.8,5,0.6666666666666666,27.788989263089057,4.9736855418206645
168,35,1.1428571428571428,0.2015419501133787,0.3333333333333333,3,0.6,31.01833357294569,4.630288563337127
169,34,1.088235294117647,0.18306595365418893,0.0,1,0.3235294117647059,35.89872299033388,4.4634798820925
